case_id,route,failure_mode,outcome,total_cost_cents,attempts,sellable,repeat_repair,scrapped_cost_cents
SIM-000100,standard,power,sellable,2533,1,True,False,0
SIM-000101,standard,display,sellable,2818,1,True,False,0
SIM-000102,standard,housing,sellable,2928,1,True,False,0
SIM-000103,standard,display,sellable,2374,1,True,False,0
SIM-000104,standard,power,sellable,2868,1,True,False,0
SIM-000105,pilot,display,sellable,2226,1,True,False,0
SIM-000106,pilot,housing,sellable,1190,1,True,False,0
SIM-000107,pilot,housing,scrapped,3578,2,False,True,3578
SIM-000108,pilot,power,sellable,1798,1,True,False,0
SIM-000109,pilot,power,sellable,1683,1,True,False,0
SIM-000110,pilot,power,sellable,4269,2,True,True,0
SIM-000111,standard,housing,sellable,2229,1,True,False,0
SIM-000112,standard,housing,sellable,2249,1,True,False,0
SIM-000113,standard,display,scrapped,2383,1,False,False,2383
SIM-000114,standard,display,sellable,2685,1,True,False,0
SIM-000115,standard,power,sellable,4712,2,True,True,0
SIM-000116,pilot,display,sellable,1309,1,True,False,0
SIM-000117,pilot,power,sellable,1384,1,True,False,0
SIM-000118,pilot,housing,scrapped,1760,1,False,False,1760
SIM-000119,pilot,housing,sellable,2209,1,True,False,0
SIM-000120,standard,housing,sellable,2854,1,True,False,0
SIM-000121,standard,power,sellable,2144,1,True,False,0
SIM-000122,standard,display,sellable,1888,1,True,False,0
SIM-000123,pilot,display,sellable,2977,2,True,True,0
SIM-000124,pilot,display,scrapped,1938,1,False,False,1938
SIM-000125,standard,display,sellable,2403,1,True,False,0
SIM-000126,pilot,display,sellable,3069,2,True,True,0
SIM-000127,pilot,power,sellable,3819,2,True,True,0
SIM-000128,pilot,display,sellable,1370,1,True,False,0
SIM-000129,pilot,housing,sellable,1419,1,True,False,0
SIM-000130,pilot,display,sellable,1239,1,True,False,0
SIM-000131,pilot,power,sellable,1439,1,True,False,0
SIM-000132,standard,housing,sellable,2046,1,True,False,0
SIM-000133,standard,housing,sellable,2566,1,True,False,0
SIM-000134,standard,housing,sellable,1826,1,True,False,0
SIM-000135,pilot,housing,scrapped,2048,1,False,False,2048
SIM-000136,pilot,display,sellable,2351,1,True,False,0
SIM-000137,standard,power,sellable,2914,1,True,False,0
SIM-000138,standard,power,sellable,2225,1,True,False,0
SIM-000139,standard,display,sellable,2317,1,True,False,0
SIM-000140,pilot,display,sellable,2249,1,True,False,0
SIM-000141,standard,power,sellable,2648,1,True,False,0
SIM-000142,standard,display,sellable,3127,1,True,False,0
SIM-000143,standard,power,sellable,1968,1,True,False,0
SIM-000144,pilot,power,sellable,2150,1,True,False,0
SIM-000145,standard,power,scrapped,1928,1,False,False,1928
SIM-000146,pilot,power,sellable,2195,1,True,False,0
SIM-000147,pilot,power,sellable,1698,1,True,False,0
SIM-000148,standard,power,sellable,2126,1,True,False,0
SIM-000149,standard,power,sellable,2648,1,True,False,0
SIM-000150,standard,housing,sellable,2539,1,True,False,0
SIM-000151,pilot,housing,sellable,1398,1,True,False,0
SIM-000152,standard,display,sellable,2678,1,True,False,0
SIM-000153,standard,power,sellable,2228,1,True,False,0
SIM-000154,pilot,display,sellable,2917,2,True,True,0
SIM-000155,standard,power,sellable,2332,1,True,False,0
SIM-000156,standard,display,sellable,1741,1,True,False,0
SIM-000157,standard,display,sellable,2872,1,True,False,0
SIM-000158,standard,power,sellable,2216,1,True,False,0
SIM-000159,pilot,power,sellable,2213,1,True,False,0
SIM-000160,standard,housing,sellable,2249,1,True,False,0
SIM-000161,pilot,power,sellable,1599,1,True,False,0
SIM-000162,standard,housing,sellable,2596,1,True,False,0
SIM-000163,standard,display,sellable,2339,1,True,False,0
SIM-000164,pilot,power,sellable,3734,2,True,True,0
SIM-000165,pilot,display,sellable,2172,1,True,False,0
SIM-000166,standard,display,scrapped,2462,1,False,False,2462
SIM-000167,standard,housing,sellable,2251,1,True,False,0
SIM-000168,pilot,power,sellable,2072,1,True,False,0
SIM-000169,pilot,display,sellable,4054,2,True,True,0
SIM-000170,pilot,display,sellable,3717,2,True,True,0
SIM-000171,pilot,housing,sellable,1931,1,True,False,0
SIM-000172,standard,power,sellable,2237,1,True,False,0
SIM-000173,pilot,power,sellable,2101,1,True,False,0
SIM-000174,standard,housing,sellable,2481,1,True,False,0
SIM-000175,pilot,housing,sellable,3844,2,True,True,0
SIM-000176,pilot,display,sellable,2089,1,True,False,0
SIM-000177,pilot,power,sellable,3723,2,True,True,0
SIM-000178,standard,housing,sellable,2381,1,True,False,0
SIM-000179,standard,display,sellable,3094,1,True,False,0
SIM-000180,pilot,display,sellable,3489,2,True,True,0
SIM-000181,pilot,power,sellable,2090,1,True,False,0
SIM-000182,standard,housing,sellable,2344,1,True,False,0
SIM-000183,standard,housing,sellable,2328,1,True,False,0
SIM-000184,standard,power,sellable,2235,1,True,False,0
SIM-000185,pilot,housing,sellable,2150,1,True,False,0
SIM-000186,pilot,power,sellable,2177,1,True,False,0
SIM-000187,pilot,housing,scrapped,1833,1,False,False,1833
SIM-000188,standard,display,sellable,2727,1,True,False,0
SIM-000189,standard,power,sellable,2297,1,True,False,0
SIM-000190,pilot,power,sellable,1981,1,True,False,0
SIM-000191,standard,display,sellable,2246,1,True,False,0
SIM-000192,standard,power,sellable,2716,1,True,False,0
SIM-000193,standard,display,sellable,1971,1,True,False,0
SIM-000194,pilot,power,sellable,1524,1,True,False,0
SIM-000195,standard,power,sellable,2647,1,True,False,0
SIM-000196,standard,display,sellable,2682,1,True,False,0
SIM-000197,pilot,power,sellable,2244,1,True,False,0
SIM-000198,pilot,display,sellable,2260,1,True,False,0
SIM-000199,pilot,housing,sellable,2010,1,True,False,0
SIM-000200,pilot,display,scrapped,4310,2,False,True,4310
SIM-000201,pilot,housing,scrapped,2002,1,False,False,2002
SIM-000202,pilot,power,sellable,3517,2,True,True,0
SIM-000203,standard,housing,sellable,2686,1,True,False,0
SIM-000204,standard,housing,sellable,2395,1,True,False,0
SIM-000205,pilot,power,sellable,1410,1,True,False,0
SIM-000206,pilot,display,scrapped,4492,2,False,True,4492
SIM-000207,pilot,display,sellable,3453,2,True,True,0
SIM-000208,standard,display,sellable,2407,1,True,False,0
SIM-000209,standard,power,sellable,2171,1,True,False,0
SIM-000210,standard,housing,sellable,5447,2,True,True,0
SIM-000211,standard,power,sellable,2810,1,True,False,0
SIM-000212,pilot,power,sellable,1811,1,True,False,0
SIM-000213,pilot,display,sellable,1367,1,True,False,0
SIM-000214,standard,power,sellable,3035,1,True,False,0
SIM-000215,pilot,display,sellable,2237,1,True,False,0
SIM-000216,pilot,housing,sellable,3327,2,True,True,0
SIM-000217,standard,power,sellable,1790,1,True,False,0
SIM-000218,pilot,power,sellable,4334,2,True,True,0
SIM-000219,standard,display,sellable,2297,1,True,False,0
SIM-000220,standard,housing,sellable,4966,2,True,True,0
SIM-000221,standard,power,sellable,2447,1,True,False,0
SIM-000222,standard,power,sellable,2419,1,True,False,0
SIM-000223,pilot,housing,scrapped,1880,1,False,False,1880
SIM-000224,pilot,power,scrapped,1494,1,False,False,1494
SIM-000225,standard,housing,sellable,2594,1,True,False,0
SIM-000226,pilot,power,sellable,1569,1,True,False,0
SIM-000227,standard,housing,sellable,5192,2,True,True,0
SIM-000228,pilot,power,sellable,2133,1,True,False,0
SIM-000229,standard,housing,sellable,3029,1,True,False,0
SIM-000230,pilot,housing,sellable,1738,1,True,False,0
SIM-000231,pilot,power,sellable,2169,1,True,False,0
SIM-000232,pilot,housing,scrapped,1946,1,False,False,1946
SIM-000233,pilot,power,sellable,1851,1,True,False,0
SIM-000234,pilot,display,sellable,2114,1,True,False,0
SIM-000235,standard,power,sellable,1921,1,True,False,0
SIM-000236,pilot,display,sellable,3424,2,True,True,0
SIM-000237,pilot,display,sellable,1765,1,True,False,0
SIM-000238,standard,power,sellable,2229,1,True,False,0
SIM-000239,pilot,display,sellable,1526,1,True,False,0
SIM-000240,pilot,power,sellable,3467,2,True,True,0
SIM-000241,pilot,housing,sellable,1827,1,True,False,0
SIM-000242,standard,display,sellable,2248,1,True,False,0
SIM-000243,standard,power,sellable,2229,1,True,False,0
SIM-000244,standard,display,sellable,2843,1,True,False,0
SIM-000245,pilot,housing,sellable,1960,1,True,False,0
SIM-000246,standard,housing,sellable,2403,1,True,False,0
SIM-000247,standard,housing,sellable,2900,1,True,False,0
SIM-000248,standard,power,sellable,2840,1,True,False,0
SIM-000249,standard,housing,sellable,2256,1,True,False,0
SIM-000250,pilot,display,sellable,1810,1,True,False,0
SIM-000251,pilot,power,sellable,3037,2,True,True,0
SIM-000252,standard,housing,sellable,2519,1,True,False,0
SIM-000253,standard,power,sellable,2607,1,True,False,0
SIM-000254,pilot,housing,scrapped,4848,2,False,True,4848
SIM-000255,standard,display,sellable,2549,1,True,False,0
SIM-000256,pilot,power,sellable,2324,1,True,False,0
SIM-000257,pilot,display,sellable,2352,1,True,False,0
SIM-000258,pilot,housing,sellable,3096,2,True,True,0
SIM-000259,standard,display,sellable,2738,1,True,False,0
SIM-000260,standard,display,sellable,2412,1,True,False,0
SIM-000261,pilot,display,sellable,2104,1,True,False,0
SIM-000262,pilot,power,sellable,3146,2,True,True,0
SIM-000263,pilot,display,sellable,1207,1,True,False,0
SIM-000264,pilot,housing,sellable,4364,2,True,True,0
SIM-000265,standard,housing,sellable,2598,1,True,False,0
SIM-000266,standard,housing,sellable,2469,1,True,False,0
SIM-000267,pilot,housing,sellable,2332,1,True,False,0
SIM-000268,pilot,housing,sellable,2106,1,True,False,0
SIM-000269,standard,housing,sellable,2417,1,True,False,0
SIM-000270,standard,housing,sellable,5321,2,True,True,0
SIM-000271,standard,housing,sellable,2259,1,True,False,0
SIM-000272,standard,housing,scrapped,4092,2,False,True,4092
SIM-000273,standard,housing,sellable,2689,1,True,False,0
SIM-000274,standard,display,sellable,2351,1,True,False,0
SIM-000275,standard,display,sellable,4095,2,True,True,0
SIM-000276,pilot,power,sellable,1687,1,True,False,0
SIM-000277,pilot,housing,sellable,2054,1,True,False,0
SIM-000278,standard,housing,sellable,2617,1,True,False,0
SIM-000279,standard,housing,sellable,2214,1,True,False,0
SIM-000280,standard,housing,sellable,2955,1,True,False,0
SIM-000281,pilot,power,sellable,2055,1,True,False,0
SIM-000282,standard,power,sellable,2962,1,True,False,0
SIM-000283,standard,power,sellable,2335,1,True,False,0
SIM-000284,standard,housing,sellable,2733,1,True,False,0
SIM-000285,standard,housing,sellable,1906,1,True,False,0
SIM-000286,standard,housing,sellable,2249,1,True,False,0
SIM-000287,standard,housing,sellable,2264,1,True,False,0
SIM-000288,standard,display,sellable,2627,1,True,False,0
SIM-000289,standard,housing,sellable,1903,1,True,False,0
SIM-000290,pilot,housing,sellable,1966,1,True,False,0
SIM-000291,pilot,housing,scrapped,4772,2,False,True,4772
SIM-000292,standard,housing,sellable,2630,1,True,False,0
SIM-000293,pilot,display,sellable,2067,1,True,False,0
SIM-000294,pilot,display,sellable,1707,1,True,False,0
SIM-000295,standard,display,sellable,1839,1,True,False,0
SIM-000296,standard,housing,sellable,2898,1,True,False,0
SIM-000297,pilot,housing,sellable,2146,1,True,False,0
SIM-000298,pilot,power,sellable,2028,1,True,False,0
SIM-000299,pilot,display,sellable,1549,1,True,False,0
SIM-000300,standard,housing,sellable,2852,1,True,False,0
SIM-000301,pilot,power,sellable,1799,1,True,False,0
SIM-000302,standard,display,sellable,1905,1,True,False,0
SIM-000303,pilot,display,scrapped,1841,1,False,False,1841
SIM-000304,standard,display,sellable,4314,2,True,True,0
SIM-000305,standard,power,sellable,2525,1,True,False,0
SIM-000306,standard,display,sellable,2299,1,True,False,0
SIM-000307,pilot,display,sellable,2353,1,True,False,0
SIM-000308,standard,power,sellable,2115,1,True,False,0
SIM-000309,pilot,display,sellable,2158,1,True,False,0
SIM-000310,standard,power,sellable,2137,1,True,False,0
SIM-000311,standard,power,sellable,4704,2,True,True,0
SIM-000312,standard,power,sellable,3102,1,True,False,0
SIM-000313,standard,housing,sellable,2209,1,True,False,0
SIM-000314,standard,power,sellable,1860,1,True,False,0
SIM-000315,standard,housing,sellable,2762,1,True,False,0
SIM-000316,pilot,power,sellable,4388,2,True,True,0
SIM-000317,standard,power,sellable,2705,1,True,False,0
SIM-000318,standard,display,sellable,3131,1,True,False,0
SIM-000319,standard,display,sellable,4897,2,True,True,0
SIM-000320,standard,display,sellable,1762,1,True,False,0
SIM-000321,standard,display,sellable,1813,1,True,False,0
SIM-000322,standard,display,sellable,4919,2,True,True,0
SIM-000323,standard,display,sellable,2437,1,True,False,0
SIM-000324,pilot,display,sellable,3498,2,True,True,0
SIM-000325,pilot,display,sellable,3709,2,True,True,0
SIM-000326,pilot,power,sellable,1573,1,True,False,0
SIM-000327,pilot,display,sellable,1883,1,True,False,0
SIM-000328,standard,power,sellable,2718,1,True,False,0
SIM-000329,pilot,display,sellable,3564,2,True,True,0
SIM-000330,standard,housing,sellable,2564,1,True,False,0
SIM-000331,standard,housing,sellable,1882,1,True,False,0
SIM-000332,pilot,display,sellable,3796,2,True,True,0
SIM-000333,standard,power,sellable,2471,1,True,False,0
SIM-000334,standard,housing,sellable,3184,1,True,False,0
SIM-000335,standard,housing,sellable,2899,1,True,False,0
SIM-000336,standard,housing,sellable,2885,1,True,False,0
SIM-000337,standard,housing,sellable,5473,2,True,True,0
SIM-000338,standard,display,sellable,2749,1,True,False,0
SIM-000339,standard,power,sellable,2356,1,True,False,0
SIM-000340,pilot,housing,sellable,5018,2,True,True,0
SIM-000341,pilot,housing,scrapped,3846,2,False,True,3846
SIM-000342,pilot,display,sellable,1921,1,True,False,0
SIM-000343,pilot,housing,sellable,1788,1,True,False,0
SIM-000344,pilot,display,sellable,2150,1,True,False,0
SIM-000345,pilot,housing,scrapped,3466,2,False,True,3466
SIM-000346,pilot,housing,scrapped,1979,1,False,False,1979
SIM-000347,pilot,housing,sellable,3085,2,True,True,0
SIM-000348,standard,housing,sellable,2589,1,True,False,0
SIM-000349,pilot,housing,sellable,2172,1,True,False,0
SIM-000350,pilot,display,sellable,2024,1,True,False,0
SIM-000351,standard,power,sellable,2404,1,True,False,0
SIM-000352,standard,display,sellable,2421,1,True,False,0
SIM-000353,pilot,power,sellable,1645,1,True,False,0
SIM-000354,pilot,housing,sellable,1560,1,True,False,0
SIM-000355,pilot,display,sellable,2541,1,True,False,0
SIM-000356,standard,housing,sellable,2652,1,True,False,0
SIM-000357,standard,power,sellable,1943,1,True,False,0
SIM-000358,standard,housing,sellable,2372,1,True,False,0
SIM-000359,standard,housing,sellable,2435,1,True,False,0
SIM-000360,standard,display,sellable,2620,1,True,False,0
SIM-000361,pilot,display,sellable,1666,1,True,False,0
SIM-000362,pilot,display,sellable,3768,2,True,True,0
SIM-000363,pilot,power,sellable,1787,1,True,False,0
SIM-000364,pilot,display,scrapped,1862,1,False,False,1862
SIM-000365,standard,housing,sellable,2276,1,True,False,0
SIM-000366,standard,housing,sellable,1774,1,True,False,0
SIM-000367,pilot,power,sellable,1912,1,True,False,0
SIM-000368,standard,display,sellable,2856,1,True,False,0
SIM-000369,standard,power,sellable,5264,2,True,True,0
SIM-000370,standard,display,sellable,2774,1,True,False,0
SIM-000371,pilot,display,sellable,2191,1,True,False,0
SIM-000372,standard,housing,sellable,2091,1,True,False,0
SIM-000373,standard,power,sellable,2778,1,True,False,0
SIM-000374,pilot,housing,scrapped,4748,2,False,True,4748
SIM-000375,standard,housing,sellable,2567,1,True,False,0
SIM-000376,standard,display,sellable,2474,1,True,False,0
SIM-000377,standard,power,sellable,2115,1,True,False,0
SIM-000378,standard,power,sellable,2392,1,True,False,0
SIM-000379,pilot,power,sellable,2005,1,True,False,0
SIM-000380,standard,display,sellable,2315,1,True,False,0
SIM-000381,standard,power,sellable,4683,2,True,True,0
SIM-000382,pilot,housing,sellable,2075,1,True,False,0
SIM-000383,standard,housing,sellable,2538,1,True,False,0
SIM-000384,pilot,housing,sellable,1871,1,True,False,0
SIM-000385,pilot,housing,scrapped,1997,1,False,False,1997
SIM-000386,pilot,housing,sellable,3385,2,True,True,0
SIM-000387,pilot,power,scrapped,4505,2,False,True,4505
SIM-000388,pilot,power,scrapped,1724,1,False,False,1724
SIM-000389,pilot,housing,sellable,3936,2,True,True,0
SIM-000390,pilot,power,sellable,1802,1,True,False,0
SIM-000391,standard,display,sellable,2592,1,True,False,0
SIM-000392,pilot,display,sellable,1527,1,True,False,0
SIM-000393,standard,housing,sellable,2347,1,True,False,0
SIM-000394,standard,display,sellable,3167,1,True,False,0
SIM-000395,standard,power,sellable,4973,2,True,True,0
SIM-000396,pilot,housing,sellable,1790,1,True,False,0
SIM-000397,pilot,power,sellable,1356,1,True,False,0
SIM-000398,pilot,power,sellable,4351,2,True,True,0
SIM-000399,pilot,power,scrapped,2280,1,False,False,2280
SIM-000400,pilot,display,sellable,1801,1,True,False,0
SIM-000401,pilot,housing,scrapped,1897,1,False,False,1897
SIM-000402,pilot,display,sellable,1780,1,True,False,0
SIM-000403,standard,power,sellable,2176,1,True,False,0
SIM-000404,pilot,power,scrapped,1845,1,False,False,1845
SIM-000405,pilot,power,sellable,1626,1,True,False,0
SIM-000406,standard,housing,scrapped,2075,1,False,False,2075
SIM-000407,pilot,housing,sellable,1513,1,True,False,0
SIM-000408,standard,power,sellable,2261,1,True,False,0
SIM-000409,pilot,display,sellable,3786,2,True,True,0
SIM-000410,standard,housing,sellable,2177,1,True,False,0
SIM-000411,pilot,display,sellable,1986,1,True,False,0
SIM-000412,standard,housing,sellable,2220,1,True,False,0
SIM-000413,standard,housing,sellable,2646,1,True,False,0
SIM-000414,standard,display,sellable,5100,2,True,True,0
SIM-000415,pilot,housing,sellable,4092,2,True,True,0
SIM-000416,standard,housing,sellable,1761,1,True,False,0
SIM-000417,pilot,housing,sellable,1473,1,True,False,0
SIM-000418,pilot,power,sellable,1881,1,True,False,0
SIM-000419,pilot,housing,sellable,1580,1,True,False,0
SIM-000420,standard,housing,sellable,2696,1,True,False,0
SIM-000421,standard,power,sellable,2682,1,True,False,0
SIM-000422,standard,power,scrapped,2740,1,False,False,2740
SIM-000423,standard,display,sellable,2252,1,True,False,0
SIM-000424,pilot,housing,sellable,2295,1,True,False,0
SIM-000425,pilot,housing,scrapped,4099,2,False,True,4099
SIM-000426,standard,display,sellable,2532,1,True,False,0
SIM-000427,standard,power,sellable,2464,1,True,False,0
SIM-000428,pilot,display,sellable,1842,1,True,False,0
SIM-000429,standard,housing,sellable,2429,1,True,False,0
SIM-000430,pilot,display,sellable,4259,2,True,True,0
SIM-000431,pilot,housing,sellable,1833,1,True,False,0
SIM-000432,standard,power,sellable,3664,2,True,True,0
SIM-000433,pilot,housing,sellable,1970,1,True,False,0
SIM-000434,pilot,power,sellable,1976,1,True,False,0
SIM-000435,standard,housing,sellable,4983,2,True,True,0
SIM-000436,pilot,display,sellable,2991,2,True,True,0
SIM-000437,pilot,housing,scrapped,2257,1,False,False,2257
SIM-000438,pilot,power,sellable,1568,1,True,False,0
SIM-000439,pilot,housing,sellable,2205,1,True,False,0
SIM-000440,pilot,housing,sellable,3828,2,True,True,0
SIM-000441,pilot,housing,scrapped,1372,1,False,False,1372
SIM-000442,standard,power,sellable,2060,1,True,False,0
SIM-000443,pilot,display,sellable,2350,1,True,False,0
SIM-000444,standard,power,sellable,2767,1,True,False,0
SIM-000445,pilot,housing,sellable,1618,1,True,False,0
SIM-000446,standard,housing,sellable,2796,1,True,False,0
SIM-000447,pilot,power,sellable,1903,1,True,False,0
SIM-000448,pilot,display,sellable,3427,2,True,True,0
SIM-000449,pilot,display,sellable,2272,1,True,False,0
SIM-000450,standard,housing,sellable,1987,1,True,False,0
SIM-000451,standard,display,sellable,1945,1,True,False,0
SIM-000452,pilot,housing,scrapped,3811,2,False,True,3811
SIM-000453,pilot,power,sellable,3705,2,True,True,0
SIM-000454,pilot,display,sellable,1467,1,True,False,0
SIM-000455,standard,display,sellable,1813,1,True,False,0
SIM-000456,standard,housing,sellable,2512,1,True,False,0
SIM-000457,standard,housing,sellable,2677,1,True,False,0
SIM-000458,pilot,housing,scrapped,1619,1,False,False,1619
SIM-000459,pilot,power,sellable,1992,1,True,False,0
SIM-000460,standard,display,sellable,2500,1,True,False,0
SIM-000461,pilot,housing,sellable,2543,1,True,False,0
SIM-000462,standard,housing,sellable,2517,1,True,False,0
SIM-000463,standard,display,sellable,2223,1,True,False,0
SIM-000464,pilot,housing,sellable,1835,1,True,False,0
SIM-000465,standard,display,sellable,4542,2,True,True,0
SIM-000466,standard,display,sellable,1726,1,True,False,0
SIM-000467,pilot,power,sellable,3773,2,True,True,0
SIM-000468,standard,power,sellable,2587,1,True,False,0
SIM-000469,standard,housing,sellable,2367,1,True,False,0
SIM-000470,pilot,display,sellable,4783,2,True,True,0
SIM-000471,pilot,housing,scrapped,3586,2,False,True,3586
SIM-000472,standard,housing,sellable,2197,1,True,False,0
SIM-000473,standard,housing,sellable,2430,1,True,False,0
SIM-000474,standard,power,sellable,2345,1,True,False,0
SIM-000475,standard,power,sellable,5225,2,True,True,0
SIM-000476,pilot,display,sellable,3225,2,True,True,0
SIM-000477,standard,power,sellable,2408,1,True,False,0
SIM-000478,pilot,housing,sellable,2136,1,True,False,0
SIM-000479,standard,power,sellable,2724,1,True,False,0
SIM-000480,standard,power,sellable,2891,1,True,False,0
SIM-000481,pilot,power,sellable,4573,2,True,True,0
SIM-000482,pilot,power,sellable,3059,2,True,True,0
SIM-000483,pilot,power,sellable,1873,1,True,False,0
SIM-000484,standard,power,sellable,1899,1,True,False,0
SIM-000485,standard,housing,sellable,2532,1,True,False,0
SIM-000486,standard,housing,sellable,2460,1,True,False,0
SIM-000487,pilot,power,sellable,2055,1,True,False,0
SIM-000488,standard,housing,sellable,3032,1,True,False,0
SIM-000489,standard,housing,sellable,2399,1,True,False,0
SIM-000490,standard,housing,sellable,2302,1,True,False,0
SIM-000491,pilot,housing,sellable,2120,1,True,False,0
SIM-000492,standard,housing,sellable,2755,1,True,False,0
SIM-000493,pilot,display,sellable,3980,2,True,True,0
SIM-000494,standard,housing,sellable,2924,1,True,False,0
SIM-000495,pilot,housing,scrapped,2431,1,False,False,2431
