case_id,route,failure_mode,outcome
SIM-000337,standard,housing,sellable
SIM-000338,standard,display,sellable
SIM-000339,standard,power,sellable
SIM-000340,pilot,housing,sellable
SIM-000341,pilot,housing,scrapped
SIM-000342,pilot,display,sellable
SIM-000343,pilot,housing,sellable
SIM-000344,pilot,display,sellable
SIM-000345,pilot,housing,scrapped
SIM-000346,pilot,housing,scrapped
SIM-000347,pilot,housing,sellable
SIM-000348,standard,housing,sellable
SIM-000349,pilot,housing,sellable
SIM-000350,pilot,display,sellable
SIM-000351,standard,power,sellable
SIM-000352,standard,display,sellable
SIM-000353,pilot,power,sellable
SIM-000354,pilot,housing,sellable
SIM-000355,pilot,display,sellable
SIM-000356,standard,housing,sellable
SIM-000357,standard,power,sellable
SIM-000358,standard,housing,sellable
SIM-000359,standard,housing,sellable
SIM-000360,standard,display,sellable
SIM-000361,pilot,display,sellable
SIM-000362,pilot,display,sellable
SIM-000363,pilot,power,sellable
SIM-000364,pilot,display,scrapped
SIM-000365,standard,housing,sellable
SIM-000366,standard,housing,sellable
SIM-000367,pilot,power,sellable
SIM-000368,standard,display,sellable
SIM-000369,standard,power,sellable
SIM-000370,standard,display,sellable
SIM-000371,pilot,display,sellable
SIM-000372,standard,housing,sellable
SIM-000373,standard,power,sellable
SIM-000374,pilot,housing,scrapped
SIM-000375,standard,housing,sellable
SIM-000376,standard,display,sellable
SIM-000377,standard,power,sellable
SIM-000378,standard,power,sellable
SIM-000379,pilot,power,sellable
SIM-000380,standard,display,sellable
SIM-000381,standard,power,sellable
SIM-000382,pilot,housing,sellable
SIM-000383,standard,housing,sellable
SIM-000384,pilot,housing,sellable
SIM-000385,pilot,housing,scrapped
SIM-000386,pilot,housing,sellable
SIM-000387,pilot,power,scrapped
SIM-000388,pilot,power,scrapped
SIM-000389,pilot,housing,sellable
SIM-000390,pilot,power,sellable
SIM-000391,standard,display,sellable
SIM-000392,pilot,display,sellable
SIM-000393,standard,housing,sellable
SIM-000394,standard,display,sellable
SIM-000395,standard,power,sellable
SIM-000396,pilot,housing,sellable
SIM-000397,pilot,power,sellable
SIM-000398,pilot,power,sellable
SIM-000399,pilot,power,scrapped
SIM-000400,pilot,display,sellable
SIM-000401,pilot,housing,scrapped
SIM-000402,pilot,display,sellable
SIM-000403,standard,power,sellable
SIM-000404,pilot,power,scrapped
SIM-000405,pilot,power,sellable
SIM-000406,standard,housing,scrapped
SIM-000407,pilot,housing,sellable
SIM-000408,standard,power,sellable
SIM-000409,pilot,display,sellable
SIM-000410,standard,housing,sellable
SIM-000411,pilot,display,sellable
SIM-000412,standard,housing,sellable
SIM-000413,standard,housing,sellable
SIM-000414,standard,display,sellable
SIM-000415,pilot,housing,sellable
SIM-000416,standard,housing,sellable
SIM-000417,pilot,housing,sellable
SIM-000418,pilot,power,sellable
SIM-000419,pilot,housing,sellable
SIM-000420,standard,housing,sellable
SIM-000421,standard,power,sellable
SIM-000422,standard,power,scrapped
SIM-000423,standard,display,sellable
SIM-000424,pilot,housing,sellable
SIM-000425,pilot,housing,scrapped
SIM-000426,standard,display,sellable
SIM-000427,standard,power,sellable
SIM-000428,pilot,display,sellable
SIM-000429,standard,housing,sellable
SIM-000430,pilot,display,sellable
SIM-000431,pilot,housing,sellable
SIM-000432,standard,power,sellable
SIM-000433,pilot,housing,sellable
SIM-000434,pilot,power,sellable
SIM-000435,standard,housing,sellable
SIM-000436,pilot,display,sellable
SIM-000437,pilot,housing,scrapped
SIM-000438,pilot,power,sellable
SIM-000439,pilot,housing,sellable
SIM-000440,pilot,housing,sellable
SIM-000441,pilot,housing,scrapped
SIM-000442,standard,power,sellable
SIM-000443,pilot,display,sellable
SIM-000444,standard,power,sellable
SIM-000445,pilot,housing,sellable
SIM-000446,standard,housing,sellable
SIM-000447,pilot,power,sellable
SIM-000448,pilot,display,sellable
SIM-000449,pilot,display,sellable
SIM-000450,standard,housing,sellable
SIM-000451,standard,display,sellable
SIM-000452,pilot,housing,scrapped
SIM-000453,pilot,power,sellable
SIM-000454,pilot,display,sellable
SIM-000455,standard,display,sellable
SIM-000456,standard,housing,sellable
SIM-000457,standard,housing,sellable
SIM-000458,pilot,housing,scrapped
SIM-000459,pilot,power,sellable
SIM-000460,standard,display,sellable
SIM-000461,pilot,housing,sellable
SIM-000462,standard,housing,sellable
SIM-000463,standard,display,sellable
SIM-000464,pilot,housing,sellable
SIM-000465,standard,display,sellable
SIM-000466,standard,display,sellable
SIM-000467,pilot,power,sellable
SIM-000468,standard,power,sellable
SIM-000469,standard,housing,sellable
SIM-000470,pilot,display,sellable
SIM-000471,pilot,housing,scrapped
SIM-000472,standard,housing,sellable
SIM-000473,standard,housing,sellable
SIM-000474,standard,power,sellable
SIM-000475,standard,power,sellable
SIM-000476,pilot,display,sellable
SIM-000477,standard,power,sellable
SIM-000478,pilot,housing,sellable
SIM-000479,standard,power,sellable
SIM-000480,standard,power,sellable
SIM-000481,pilot,power,sellable
SIM-000482,pilot,power,sellable
SIM-000483,pilot,power,sellable
SIM-000484,standard,power,sellable
SIM-000485,standard,housing,sellable
SIM-000486,standard,housing,sellable
SIM-000487,pilot,power,sellable
SIM-000488,standard,housing,sellable
SIM-000489,standard,housing,sellable
SIM-000490,standard,housing,sellable
SIM-000491,pilot,housing,sellable
SIM-000492,standard,housing,sellable
SIM-000493,pilot,display,sellable
SIM-000494,standard,housing,sellable
SIM-000495,pilot,housing,scrapped
SIM-000496,pilot,housing,sellable
SIM-000497,standard,power,sellable
SIM-000498,pilot,display,sellable
SIM-000499,standard,power,sellable
SIM-000500,standard,display,sellable
SIM-000501,standard,power,sellable
SIM-000502,standard,power,sellable
SIM-000503,standard,display,sellable
SIM-000504,standard,display,sellable
SIM-000505,pilot,power,sellable
SIM-000506,pilot,display,sellable
SIM-000507,standard,display,sellable
SIM-000508,pilot,display,sellable
SIM-000509,pilot,housing,scrapped
SIM-000510,pilot,housing,sellable
SIM-000511,standard,housing,sellable
SIM-000512,standard,display,sellable
SIM-000513,pilot,housing,sellable
SIM-000514,standard,display,sellable
SIM-000515,standard,display,sellable
SIM-000516,pilot,display,sellable
SIM-000517,pilot,display,sellable
SIM-000518,pilot,power,sellable
SIM-000519,standard,housing,sellable
SIM-000520,standard,display,sellable
SIM-000521,standard,power,sellable
SIM-000522,standard,power,sellable
SIM-000523,pilot,power,sellable
SIM-000524,standard,housing,sellable
SIM-000525,standard,display,sellable
SIM-000526,pilot,display,sellable
SIM-000527,standard,display,sellable
SIM-000528,standard,display,sellable
SIM-000529,standard,power,sellable
SIM-000530,pilot,housing,sellable
SIM-000531,standard,display,sellable
SIM-000532,standard,display,sellable
SIM-000533,pilot,housing,sellable
SIM-000534,standard,display,sellable
SIM-000535,pilot,power,scrapped
SIM-000536,pilot,display,scrapped
SIM-000537,standard,power,sellable
SIM-000538,standard,housing,scrapped
SIM-000539,standard,power,sellable
SIM-000540,standard,display,sellable
SIM-000541,pilot,display,sellable
SIM-000542,standard,display,sellable
SIM-000543,pilot,power,sellable
SIM-000544,pilot,housing,scrapped
SIM-000545,pilot,power,sellable
SIM-000546,pilot,display,sellable
SIM-000547,pilot,display,sellable
SIM-000548,pilot,power,sellable
SIM-000549,pilot,display,sellable
SIM-000550,standard,display,sellable
SIM-000551,standard,display,sellable
SIM-000552,pilot,housing,scrapped
SIM-000553,standard,display,sellable
SIM-000554,pilot,display,sellable
SIM-000555,standard,housing,sellable
SIM-000556,pilot,power,sellable
SIM-000557,pilot,housing,scrapped
SIM-000558,standard,power,sellable
SIM-000559,pilot,power,sellable
SIM-000560,standard,housing,sellable
SIM-000561,pilot,power,scrapped
SIM-000562,pilot,power,sellable
SIM-000563,pilot,display,sellable
SIM-000564,standard,display,sellable
SIM-000565,pilot,housing,sellable
SIM-000566,pilot,display,sellable
SIM-000567,pilot,display,sellable
SIM-000568,pilot,display,sellable
SIM-000569,pilot,housing,scrapped
SIM-000570,pilot,housing,sellable
SIM-000571,pilot,housing,sellable
SIM-000572,standard,display,sellable
SIM-000573,pilot,housing,sellable
SIM-000574,standard,housing,sellable
SIM-000575,pilot,power,sellable
SIM-000576,pilot,power,sellable
SIM-000577,standard,housing,sellable
SIM-000578,pilot,power,sellable
SIM-000579,pilot,power,sellable
SIM-000580,pilot,housing,sellable
SIM-000581,pilot,housing,sellable
SIM-000582,standard,housing,sellable
SIM-000583,standard,housing,sellable
SIM-000584,pilot,power,sellable
SIM-000585,pilot,power,sellable
SIM-000586,pilot,display,sellable
SIM-000587,standard,housing,sellable
SIM-000588,standard,power,sellable
SIM-000589,pilot,power,sellable
SIM-000590,pilot,display,sellable
SIM-000591,standard,housing,sellable
SIM-000592,pilot,display,sellable
SIM-000593,pilot,power,sellable
SIM-000594,pilot,power,sellable
SIM-000595,standard,power,sellable
SIM-000596,standard,display,sellable
SIM-000597,pilot,display,sellable
SIM-000598,standard,display,sellable
SIM-000599,pilot,housing,scrapped
SIM-000600,pilot,power,sellable
SIM-000601,pilot,display,sellable
SIM-000602,pilot,housing,sellable
SIM-000603,pilot,display,sellable
SIM-000604,standard,housing,sellable
SIM-000605,standard,power,sellable
SIM-000606,standard,power,sellable
SIM-000607,pilot,display,sellable
SIM-000608,standard,power,sellable
SIM-000609,pilot,power,sellable
SIM-000610,standard,housing,sellable
SIM-000611,standard,power,sellable
SIM-000612,pilot,power,sellable
SIM-000613,pilot,display,sellable
SIM-000614,standard,display,sellable
SIM-000615,standard,power,sellable
SIM-000616,pilot,power,sellable
SIM-000617,standard,power,sellable
SIM-000618,standard,power,sellable
SIM-000619,standard,display,sellable
SIM-000620,pilot,display,sellable
SIM-000621,pilot,display,sellable
SIM-000622,standard,display,sellable
SIM-000623,standard,housing,sellable
SIM-000624,pilot,power,sellable
SIM-000625,standard,housing,sellable
SIM-000626,pilot,housing,scrapped
SIM-000627,standard,display,sellable
SIM-000628,pilot,housing,scrapped
SIM-000629,standard,housing,sellable
SIM-000630,pilot,housing,scrapped
SIM-000631,standard,power,sellable
SIM-000632,pilot,display,sellable
SIM-000633,pilot,power,sellable
SIM-000634,pilot,power,sellable
SIM-000635,standard,housing,sellable
SIM-000636,pilot,power,sellable
SIM-000637,standard,display,sellable
SIM-000638,standard,housing,sellable
SIM-000639,pilot,display,sellable
SIM-000640,standard,housing,sellable
SIM-000641,standard,display,sellable
SIM-000642,pilot,housing,sellable
SIM-000643,pilot,power,sellable
SIM-000644,standard,display,sellable
SIM-000645,pilot,housing,scrapped
SIM-000646,standard,housing,sellable
SIM-000647,standard,display,sellable
SIM-000648,pilot,power,sellable
SIM-000649,pilot,display,sellable
SIM-000650,pilot,housing,sellable
SIM-000651,standard,power,sellable
SIM-000652,standard,power,sellable
SIM-000653,pilot,power,sellable
SIM-000654,pilot,power,sellable
SIM-000655,pilot,housing,sellable
SIM-000656,standard,housing,sellable
SIM-000657,standard,power,sellable
SIM-000658,pilot,display,sellable
SIM-000659,standard,housing,sellable
SIM-000660,standard,display,sellable
SIM-000661,standard,housing,sellable
SIM-000662,standard,display,sellable
SIM-000663,standard,display,sellable
SIM-000664,pilot,power,sellable
SIM-000665,pilot,power,sellable
SIM-000666,standard,display,sellable
SIM-000667,standard,power,sellable
SIM-000668,standard,display,scrapped
SIM-000669,standard,housing,sellable
SIM-000670,pilot,housing,sellable
SIM-000671,standard,power,sellable
SIM-000672,pilot,housing,scrapped
SIM-000673,pilot,display,sellable
SIM-000674,standard,display,sellable
SIM-000675,standard,power,sellable
SIM-000676,standard,display,sellable
SIM-000677,standard,display,sellable
SIM-000678,pilot,housing,scrapped
SIM-000679,standard,housing,sellable
SIM-000680,standard,power,sellable
SIM-000681,pilot,power,sellable
SIM-000682,pilot,housing,sellable
SIM-000683,standard,housing,sellable
SIM-000684,pilot,housing,sellable
SIM-000685,standard,housing,sellable
SIM-000686,pilot,power,sellable
SIM-000687,pilot,housing,scrapped
SIM-000688,standard,display,sellable
SIM-000689,pilot,display,sellable
SIM-000690,pilot,power,sellable
SIM-000691,standard,display,sellable
SIM-000692,standard,power,sellable
SIM-000693,standard,display,sellable
SIM-000694,standard,power,sellable
SIM-000695,standard,housing,sellable
SIM-000696,pilot,power,sellable
SIM-000697,standard,power,sellable
SIM-000698,pilot,housing,sellable
SIM-000699,standard,power,sellable
SIM-000700,standard,power,sellable
SIM-000701,standard,power,sellable
SIM-000702,standard,power,sellable
SIM-000703,standard,housing,sellable
SIM-000704,standard,display,sellable
SIM-000705,pilot,power,sellable
SIM-000706,standard,power,scrapped
SIM-000707,pilot,display,sellable
SIM-000708,standard,housing,sellable
SIM-000709,pilot,housing,scrapped
SIM-000710,pilot,display,sellable
SIM-000711,pilot,power,sellable
SIM-000712,standard,display,sellable
SIM-000713,pilot,housing,sellable
SIM-000714,standard,display,sellable
SIM-000715,pilot,housing,scrapped
SIM-000716,standard,display,sellable
SIM-000717,standard,housing,scrapped
SIM-000718,standard,housing,sellable
SIM-000719,standard,display,scrapped
SIM-000720,standard,display,sellable
SIM-000721,standard,display,scrapped
SIM-000722,pilot,power,sellable
SIM-000723,pilot,housing,sellable
SIM-000724,standard,power,sellable
SIM-000725,standard,power,sellable
SIM-000726,standard,display,sellable
SIM-000727,pilot,housing,sellable
SIM-000728,pilot,display,sellable
SIM-000729,standard,power,sellable
SIM-000730,standard,housing,sellable
SIM-000731,standard,display,sellable
SIM-000732,standard,power,sellable
SIM-000733,pilot,power,sellable
SIM-000734,pilot,housing,sellable
SIM-000735,standard,display,sellable
SIM-000736,pilot,power,sellable
SIM-000737,standard,housing,sellable
SIM-000738,pilot,housing,scrapped
SIM-000739,pilot,display,sellable
SIM-000740,standard,power,scrapped
SIM-000741,pilot,display,sellable
SIM-000742,pilot,display,sellable
SIM-000743,standard,power,scrapped
SIM-000744,standard,display,sellable
SIM-000745,pilot,display,sellable
SIM-000746,standard,housing,scrapped
SIM-000747,pilot,display,sellable
SIM-000748,standard,display,sellable
SIM-000749,pilot,housing,sellable
SIM-000750,standard,housing,sellable
SIM-000751,pilot,housing,scrapped
SIM-000752,pilot,housing,sellable
SIM-000753,pilot,display,sellable
SIM-000754,pilot,power,sellable
SIM-000755,standard,display,sellable
SIM-000756,standard,power,sellable
SIM-000757,pilot,display,sellable
SIM-000758,pilot,housing,sellable
SIM-000759,pilot,display,sellable
SIM-000760,pilot,power,sellable
SIM-000761,pilot,housing,scrapped
SIM-000762,pilot,display,scrapped
SIM-000763,standard,display,sellable
SIM-000764,standard,housing,sellable
SIM-000765,pilot,display,sellable
SIM-000766,standard,display,sellable
SIM-000767,standard,display,sellable
SIM-000768,pilot,display,sellable
SIM-000769,pilot,housing,scrapped
SIM-000770,standard,power,sellable
SIM-000771,standard,housing,sellable
SIM-000772,standard,power,sellable
SIM-000773,standard,housing,sellable
SIM-000774,standard,power,sellable
SIM-000775,standard,display,sellable
SIM-000776,pilot,housing,sellable
SIM-000777,pilot,power,sellable
SIM-000778,standard,housing,sellable
SIM-000779,pilot,display,sellable
SIM-000780,pilot,display,sellable
SIM-000781,standard,housing,sellable
SIM-000782,standard,housing,scrapped
SIM-000783,standard,power,sellable
SIM-000784,standard,housing,sellable
SIM-000785,pilot,display,scrapped
SIM-000786,pilot,power,sellable
SIM-000787,standard,power,sellable
SIM-000788,pilot,power,sellable
SIM-000789,standard,display,sellable
SIM-000790,standard,display,sellable
SIM-000791,pilot,power,sellable
SIM-000792,pilot,housing,sellable
SIM-000793,pilot,display,sellable
SIM-000794,pilot,display,sellable
SIM-000795,standard,power,sellable
SIM-000796,pilot,display,sellable
SIM-000797,pilot,power,sellable
SIM-000798,standard,housing,sellable
SIM-000799,pilot,display,sellable
SIM-000800,standard,display,sellable
SIM-000801,pilot,housing,scrapped
SIM-000802,pilot,housing,sellable
SIM-000803,pilot,housing,sellable
SIM-000804,pilot,display,sellable
SIM-000805,standard,display,sellable
SIM-000806,standard,power,sellable
SIM-000807,pilot,housing,sellable
SIM-000808,standard,display,sellable
SIM-000809,pilot,housing,sellable
SIM-000810,pilot,display,sellable
SIM-000811,standard,housing,sellable
SIM-000812,standard,housing,sellable
SIM-000813,standard,housing,sellable
SIM-000814,pilot,display,sellable
SIM-000815,standard,display,sellable
SIM-000816,pilot,housing,scrapped
SIM-000817,standard,housing,sellable
SIM-000818,pilot,housing,sellable
SIM-000819,pilot,display,scrapped
SIM-000820,standard,housing,sellable
SIM-000821,pilot,display,sellable
SIM-000822,standard,housing,sellable
SIM-000823,pilot,display,sellable
