event_id,case_id,parts_cents,labor_cents,logistics_cents
SIM-000075-A1,SIM-000075,1222,1025,150
SIM-000076-A1,SIM-000076,929,939,150
SIM-000076-A2,SIM-000076,1473,1057,150
SIM-000077-A1,SIM-000077,1413,987,150
SIM-000078-A1,SIM-000078,1019,611,150
SIM-000079-A1,SIM-000079,1352,607,150
SIM-000080-A1,SIM-000080,939,1137,150
SIM-000081-A1,SIM-000081,816,717,150
SIM-000082-A1,SIM-000082,1050,1346,150
SIM-000083-A1,SIM-000083,724,527,150
SIM-000083-A2,SIM-000083,605,532,150
SIM-000084-A1,SIM-000084,1038,597,150
SIM-000085-A1,SIM-000085,1384,915,150
SIM-000086-A1,SIM-000086,1401,741,150
SIM-000087-A1,SIM-000087,1213,522,150
SIM-000088-A1,SIM-000088,624,859,150
SIM-000088-A2,SIM-000088,740,632,150
SIM-000089-A1,SIM-000089,607,907,150
SIM-000090-A1,SIM-000090,701,543,150
SIM-000091-A1,SIM-000091,1561,1379,150
SIM-000091-A2,SIM-000091,934,1053,150
SIM-000092-A1,SIM-000092,867,1357,150
SIM-000093-A1,SIM-000093,855,1218,150
SIM-000094-A1,SIM-000094,930,630,150
SIM-000095-A1,SIM-000095,874,783,150
SIM-000096-A1,SIM-000096,716,941,150
SIM-000096-A2,SIM-000096,792,1262,150
SIM-000097-A1,SIM-000097,1465,1489,150
SIM-000098-A1,SIM-000098,1329,1370,150
SIM-000099-A1,SIM-000099,1195,853,150
SIM-000100-A1,SIM-000100,890,1493,150
SIM-000101-A1,SIM-000101,1427,1241,150
SIM-000102-A1,SIM-000102,1551,1227,150
SIM-000103-A1,SIM-000103,900,1324,150
SIM-000104-A1,SIM-000104,1501,1217,150
SIM-000105-A1,SIM-000105,1406,670,150
SIM-000106-A1,SIM-000106,638,402,150
SIM-000107-A1,SIM-000107,1200,458,150
SIM-000107-A2,SIM-000107,1112,508,150
SIM-000108-A1,SIM-000108,1086,562,150
SIM-000109-A1,SIM-000109,822,711,150
SIM-000110-A1,SIM-000110,1166,862,150
SIM-000110-A2,SIM-000110,1443,498,150
SIM-000111-A1,SIM-000111,880,1199,150
SIM-000112-A1,SIM-000112,928,1171,150
SIM-000113-A1,SIM-000113,870,1363,150
SIM-000114-A1,SIM-000114,1291,1244,150
SIM-000115-A1,SIM-000115,890,1024,150
SIM-000115-A2,SIM-000115,1228,1270,150
SIM-000116-A1,SIM-000116,633,526,150
SIM-000117-A1,SIM-000117,633,601,150
SIM-000118-A1,SIM-000118,825,785,150
SIM-000119-A1,SIM-000119,1182,877,150
SIM-000120-A1,SIM-000120,1429,1275,150
SIM-000121-A1,SIM-000121,1057,937,150
SIM-000122-A1,SIM-000122,634,1104,150
SIM-000123-A1,SIM-000123,608,589,150
SIM-000123-A2,SIM-000123,1032,448,150
SIM-000124-A1,SIM-000124,1116,672,150
SIM-000125-A1,SIM-000125,1183,1070,150
SIM-000126-A1,SIM-000126,653,503,150
SIM-000126-A2,SIM-000126,807,806,150
SIM-000127-A1,SIM-000127,1575,400,150
SIM-000127-A2,SIM-000127,668,876,150
SIM-000128-A1,SIM-000128,769,451,150
SIM-000129-A1,SIM-000129,604,665,150
SIM-000130-A1,SIM-000130,630,459,150
SIM-000131-A1,SIM-000131,797,492,150
SIM-000132-A1,SIM-000132,722,1174,150
SIM-000133-A1,SIM-000133,970,1446,150
SIM-000134-A1,SIM-000134,687,989,150
SIM-000135-A1,SIM-000135,1016,882,150
SIM-000136-A1,SIM-000136,1319,882,150
SIM-000137-A1,SIM-000137,1560,1204,150
SIM-000138-A1,SIM-000138,947,1128,150
SIM-000139-A1,SIM-000139,966,1201,150
SIM-000140-A1,SIM-000140,1242,857,150
SIM-000141-A1,SIM-000141,1182,1316,150
SIM-000142-A1,SIM-000142,1584,1393,150
SIM-000143-A1,SIM-000143,820,998,150
SIM-000144-A1,SIM-000144,1569,431,150
SIM-000145-A1,SIM-000145,856,922,150
SIM-000146-A1,SIM-000146,1323,722,150
SIM-000147-A1,SIM-000147,958,590,150
SIM-000148-A1,SIM-000148,1041,935,150
SIM-000149-A1,SIM-000149,1538,960,150
SIM-000150-A1,SIM-000150,1316,1073,150
SIM-000151-A1,SIM-000151,626,622,150
SIM-000152-A1,SIM-000152,1296,1232,150
SIM-000153-A1,SIM-000153,1115,963,150
SIM-000154-A1,SIM-000154,936,437,150
SIM-000154-A2,SIM-000154,832,412,150
SIM-000155-A1,SIM-000155,1190,992,150
SIM-000156-A1,SIM-000156,631,960,150
SIM-000157-A1,SIM-000157,1389,1333,150
SIM-000158-A1,SIM-000158,833,1233,150
SIM-000159-A1,SIM-000159,1249,814,150
SIM-000160-A1,SIM-000160,1061,1038,150
SIM-000161-A1,SIM-000161,702,747,150
SIM-000162-A1,SIM-000162,1269,1177,150
SIM-000163-A1,SIM-000163,761,1428,150
SIM-000164-A1,SIM-000164,741,793,150
SIM-000164-A2,SIM-000164,1419,481,150
SIM-000165-A1,SIM-000165,1241,781,150
SIM-000166-A1,SIM-000166,1104,1208,150
SIM-000167-A1,SIM-000167,1120,981,150
SIM-000168-A1,SIM-000168,1268,654,150
SIM-000169-A1,SIM-000169,1108,847,150
SIM-000169-A2,SIM-000169,1377,422,150
SIM-000170-A1,SIM-000170,1158,592,150
SIM-000170-A2,SIM-000170,781,886,150
SIM-000171-A1,SIM-000171,1146,635,150
SIM-000172-A1,SIM-000172,865,1222,150
SIM-000173-A1,SIM-000173,1155,796,150
SIM-000174-A1,SIM-000174,1038,1293,150
SIM-000175-A1,SIM-000175,1542,659,150
SIM-000175-A2,SIM-000175,827,516,150
SIM-000176-A1,SIM-000176,1497,442,150
SIM-000177-A1,SIM-000177,1136,549,150
SIM-000177-A2,SIM-000177,1032,706,150
SIM-000178-A1,SIM-000178,1231,1000,150
SIM-000179-A1,SIM-000179,1478,1466,150
SIM-000180-A1,SIM-000180,987,552,150
SIM-000180-A2,SIM-000180,1087,563,150
SIM-000181-A1,SIM-000181,1266,674,150
SIM-000182-A1,SIM-000182,1016,1178,150
SIM-000183-A1,SIM-000183,836,1342,150
SIM-000184-A1,SIM-000184,1030,1055,150
SIM-000185-A1,SIM-000185,1497,503,150
SIM-000186-A1,SIM-000186,1471,556,150
SIM-000187-A1,SIM-000187,823,860,150
SIM-000188-A1,SIM-000188,1386,1191,150
SIM-000189-A1,SIM-000189,1045,1102,150
SIM-000190-A1,SIM-000190,984,847,150
SIM-000191-A1,SIM-000191,832,1264,150
SIM-000192-A1,SIM-000192,1188,1378,150
SIM-000193-A1,SIM-000193,624,1197,150
SIM-000194-A1,SIM-000194,738,636,150
SIM-000195-A1,SIM-000195,1086,1411,150
SIM-000196-A1,SIM-000196,1551,981,150
SIM-000197-A1,SIM-000197,1195,899,150
SIM-000198-A1,SIM-000198,1211,899,150
SIM-000199-A1,SIM-000199,1280,580,150
SIM-000200-A1,SIM-000200,1569,452,150
SIM-000200-A2,SIM-000200,1571,418,150
SIM-000201-A1,SIM-000201,1447,405,150
SIM-000202-A1,SIM-000202,1050,403,150
SIM-000202-A2,SIM-000202,1283,481,150
SIM-000203-A1,SIM-000203,1275,1261,150
SIM-000204-A1,SIM-000204,935,1310,150
SIM-000205-A1,SIM-000205,649,611,150
SIM-000206-A1,SIM-000206,1284,883,150
SIM-000206-A2,SIM-000206,1513,512,150
SIM-000207-A1,SIM-000207,683,843,150
SIM-000207-A2,SIM-000207,815,812,150
SIM-000208-A1,SIM-000208,1043,1214,150
SIM-000209-A1,SIM-000209,1102,919,150
SIM-000210-A1,SIM-000210,1532,1351,150
SIM-000210-A2,SIM-000210,1201,1063,150
SIM-000211-A1,SIM-000211,1451,1209,150
SIM-000212-A1,SIM-000212,1242,419,150
SIM-000213-A1,SIM-000213,665,552,150
SIM-000214-A1,SIM-000214,1447,1438,150
SIM-000215-A1,SIM-000215,1195,892,150
SIM-000216-A1,SIM-000216,1237,628,150
SIM-000216-A2,SIM-000216,616,546,150
SIM-000217-A1,SIM-000217,629,1011,150
SIM-000218-A1,SIM-000218,1485,597,150
SIM-000218-A2,SIM-000218,1423,529,150
SIM-000219-A1,SIM-000219,689,1458,150
SIM-000220-A1,SIM-000220,771,982,150
SIM-000220-A2,SIM-000220,1556,1357,150
SIM-000221-A1,SIM-000221,1381,916,150
SIM-000222-A1,SIM-000222,1280,989,150
SIM-000223-A1,SIM-000223,1248,482,150
SIM-000224-A1,SIM-000224,695,649,150
SIM-000225-A1,SIM-000225,1405,1039,150
SIM-000226-A1,SIM-000226,871,548,150
SIM-000227-A1,SIM-000227,1141,1330,150
SIM-000227-A2,SIM-000227,1444,977,150
SIM-000228-A1,SIM-000228,1495,488,150
SIM-000229-A1,SIM-000229,1402,1477,150
SIM-000230-A1,SIM-000230,762,826,150
SIM-000231-A1,SIM-000231,1479,540,150
SIM-000232-A1,SIM-000232,949,847,150
SIM-000233-A1,SIM-000233,1144,557,150
SIM-000234-A1,SIM-000234,1286,678,150
SIM-000235-A1,SIM-000235,628,1143,150
SIM-000236-A1,SIM-000236,1207,670,150
SIM-000236-A2,SIM-000236,793,454,150
SIM-000237-A1,SIM-000237,801,814,150
SIM-000238-A1,SIM-000238,988,1091,150
SIM-000239-A1,SIM-000239,678,698,150
SIM-000240-A1,SIM-000240,742,652,150
SIM-000240-A2,SIM-000240,876,897,150
SIM-000241-A1,SIM-000241,813,864,150
SIM-000242-A1,SIM-000242,751,1347,150
SIM-000243-A1,SIM-000243,1117,962,150
SIM-000244-A1,SIM-000244,1483,1210,150
SIM-000245-A1,SIM-000245,1320,490,150
SIM-000246-A1,SIM-000246,888,1365,150
SIM-000247-A1,SIM-000247,1462,1288,150
SIM-000248-A1,SIM-000248,1513,1177,150
SIM-000249-A1,SIM-000249,1114,992,150
SIM-000250-A1,SIM-000250,903,757,150
SIM-000251-A1,SIM-000251,679,586,150
SIM-000251-A2,SIM-000251,645,827,150
SIM-000252-A1,SIM-000252,1106,1263,150
SIM-000253-A1,SIM-000253,1396,1061,150
SIM-000254-A1,SIM-000254,1583,663,150
SIM-000254-A2,SIM-000254,1565,737,150
SIM-000255-A1,SIM-000255,1131,1268,150
SIM-000256-A1,SIM-000256,1274,900,150
SIM-000257-A1,SIM-000257,1445,757,150
SIM-000258-A1,SIM-000258,605,728,150
SIM-000258-A2,SIM-000258,854,609,150
SIM-000259-A1,SIM-000259,1542,1046,150
SIM-000260-A1,SIM-000260,1145,1117,150
SIM-000261-A1,SIM-000261,1479,475,150
SIM-000262-A1,SIM-000262,1124,413,150
SIM-000262-A2,SIM-000262,600,709,150
SIM-000263-A1,SIM-000263,622,435,150
SIM-000264-A1,SIM-000264,1215,731,150
SIM-000264-A2,SIM-000264,1420,698,150
SIM-000265-A1,SIM-000265,1352,1096,150
SIM-000266-A1,SIM-000266,1309,1010,150
SIM-000267-A1,SIM-000267,1472,710,150
SIM-000268-A1,SIM-000268,1280,676,150
SIM-000269-A1,SIM-000269,801,1466,150
SIM-000270-A1,SIM-000270,947,1266,150
SIM-000270-A2,SIM-000270,1471,1337,150
SIM-000271-A1,SIM-000271,1139,970,150
SIM-000272-A1,SIM-000272,684,985,150
SIM-000272-A2,SIM-000272,767,1356,150
SIM-000273-A1,SIM-000273,1407,1132,150
SIM-000274-A1,SIM-000274,891,1310,150
SIM-000275-A1,SIM-000275,657,1380,150
SIM-000275-A2,SIM-000275,812,946,150
SIM-000276-A1,SIM-000276,1036,501,150
SIM-000277-A1,SIM-000277,1282,622,150
SIM-000278-A1,SIM-000278,1323,1144,150
SIM-000279-A1,SIM-000279,767,1297,150
SIM-000280-A1,SIM-000280,1476,1329,150
SIM-000281-A1,SIM-000281,1353,552,150
SIM-000282-A1,SIM-000282,1323,1489,150
SIM-000283-A1,SIM-000283,726,1459,150
SIM-000284-A1,SIM-000284,1437,1146,150
SIM-000285-A1,SIM-000285,730,1026,150
SIM-000286-A1,SIM-000286,1069,1030,150
SIM-000287-A1,SIM-000287,1182,932,150
SIM-000288-A1,SIM-000288,1083,1394,150
SIM-000289-A1,SIM-000289,621,1132,150
SIM-000290-A1,SIM-000290,1054,762,150
SIM-000291-A1,SIM-000291,1540,816,150
SIM-000291-A2,SIM-000291,1363,753,150
SIM-000292-A1,SIM-000292,1137,1343,150
SIM-000293-A1,SIM-000293,1458,459,150
SIM-000294-A1,SIM-000294,666,891,150
SIM-000295-A1,SIM-000295,739,950,150
SIM-000296-A1,SIM-000296,1428,1320,150
SIM-000297-A1,SIM-000297,1546,450,150
SIM-000298-A1,SIM-000298,1350,528,150
SIM-000299-A1,SIM-000299,908,491,150
SIM-000300-A1,SIM-000300,1542,1160,150
SIM-000301-A1,SIM-000301,791,858,150
SIM-000302-A1,SIM-000302,634,1121,150
SIM-000303-A1,SIM-000303,912,779,150
SIM-000304-A1,SIM-000304,851,1181,150
SIM-000304-A2,SIM-000304,858,1124,150
SIM-000305-A1,SIM-000305,1101,1274,150
SIM-000306-A1,SIM-000306,915,1234,150
SIM-000307-A1,SIM-000307,1453,750,150
SIM-000308-A1,SIM-000308,981,984,150
SIM-000309-A1,SIM-000309,1583,425,150
SIM-000310-A1,SIM-000310,603,1384,150
SIM-000311-A1,SIM-000311,698,928,150
SIM-000311-A2,SIM-000311,1305,1473,150
SIM-000312-A1,SIM-000312,1592,1360,150
SIM-000313-A1,SIM-000313,666,1393,150
SIM-000314-A1,SIM-000314,697,1013,150
SIM-000315-A1,SIM-000315,1142,1470,150
SIM-000316-A1,SIM-000316,1260,733,150
SIM-000316-A2,SIM-000316,1317,778,150
SIM-000317-A1,SIM-000317,1106,1449,150
SIM-000318-A1,SIM-000318,1485,1496,150
SIM-000319-A1,SIM-000319,690,1268,150
SIM-000319-A2,SIM-000319,1346,1293,150
SIM-000320-A1,SIM-000320,603,1009,150
SIM-000321-A1,SIM-000321,722,941,150
SIM-000322-A1,SIM-000322,1429,1057,150
SIM-000322-A2,SIM-000322,837,1296,150
SIM-000323-A1,SIM-000323,1255,1032,150
SIM-000324-A1,SIM-000324,880,832,150
SIM-000324-A2,SIM-000324,980,506,150
SIM-000325-A1,SIM-000325,791,777,150
SIM-000325-A2,SIM-000325,1041,800,150
SIM-000326-A1,SIM-000326,742,681,150
SIM-000327-A1,SIM-000327,1023,710,150
SIM-000328-A1,SIM-000328,1558,1010,150
SIM-000329-A1,SIM-000329,639,666,150
SIM-000329-A2,SIM-000329,1205,754,150
SIM-000330-A1,SIM-000330,1036,1378,150
SIM-000331-A1,SIM-000331,808,924,150
SIM-000332-A1,SIM-000332,1165,404,150
SIM-000332-A2,SIM-000332,1504,423,150
SIM-000333-A1,SIM-000333,872,1449,150
SIM-000334-A1,SIM-000334,1585,1449,150
SIM-000335-A1,SIM-000335,1439,1310,150
SIM-000336-A1,SIM-000336,1269,1466,150
SIM-000337-A1,SIM-000337,1344,1097,150
SIM-000337-A2,SIM-000337,1334,1398,150
SIM-000338-A1,SIM-000338,1241,1358,150
SIM-000339-A1,SIM-000339,912,1294,150
SIM-000340-A1,SIM-000340,1539,874,150
SIM-000340-A2,SIM-000340,1436,869,150
SIM-000341-A1,SIM-000341,1028,684,150
SIM-000341-A2,SIM-000341,1197,637,150
SIM-000342-A1,SIM-000342,1288,483,150
SIM-000343-A1,SIM-000343,765,873,150
SIM-000344-A1,SIM-000344,1526,474,150
SIM-000345-A1,SIM-000345,1026,776,150
SIM-000345-A2,SIM-000345,963,401,150
SIM-000346-A1,SIM-000346,1014,815,150
SIM-000347-A1,SIM-000347,657,804,150
SIM-000347-A2,SIM-000347,777,547,150
SIM-000348-A1,SIM-000348,972,1467,150
SIM-000349-A1,SIM-000349,1468,554,150
SIM-000350-A1,SIM-000350,1289,585,150
SIM-000351-A1,SIM-000351,949,1305,150
SIM-000352-A1,SIM-000352,1177,1094,150
SIM-000353-A1,SIM-000353,852,643,150
SIM-000354-A1,SIM-000354,872,538,150
SIM-000355-A1,SIM-000355,1588,803,150
SIM-000356-A1,SIM-000356,1153,1349,150
SIM-000357-A1,SIM-000357,727,1066,150
SIM-000358-A1,SIM-000358,1150,1072,150
SIM-000359-A1,SIM-000359,1167,1118,150
SIM-000360-A1,SIM-000360,1118,1352,150
SIM-000361-A1,SIM-000361,970,546,150
SIM-000362-A1,SIM-000362,1021,647,150
SIM-000362-A2,SIM-000362,991,809,150
SIM-000363-A1,SIM-000363,1056,581,150
SIM-000364-A1,SIM-000364,1024,688,150
SIM-000365-A1,SIM-000365,935,1191,150
SIM-000366-A1,SIM-000366,684,940,150
SIM-000367-A1,SIM-000367,1343,419,150
SIM-000368-A1,SIM-000368,1279,1427,150
SIM-000369-A1,SIM-000369,1453,1253,150
SIM-000369-A2,SIM-000369,1271,987,150
SIM-000370-A1,SIM-000370,1569,1055,150
SIM-000371-A1,SIM-000371,1572,469,150
SIM-000372-A1,SIM-000372,935,1006,150
SIM-000373-A1,SIM-000373,1343,1285,150
SIM-000374-A1,SIM-000374,1118,842,150
SIM-000374-A2,SIM-000374,1600,888,150
SIM-000375-A1,SIM-000375,1135,1282,150
SIM-000376-A1,SIM-000376,958,1366,150
SIM-000377-A1,SIM-000377,961,1004,150
SIM-000378-A1,SIM-000378,932,1310,150
SIM-000379-A1,SIM-000379,1151,704,150
SIM-000380-A1,SIM-000380,944,1221,150
SIM-000381-A1,SIM-000381,694,911,150
SIM-000381-A2,SIM-000381,1435,1343,150
SIM-000382-A1,SIM-000382,1049,876,150
SIM-000383-A1,SIM-000383,1402,986,150
SIM-000384-A1,SIM-000384,943,778,150
SIM-000385-A1,SIM-000385,1067,780,150
SIM-000386-A1,SIM-000386,1141,434,150
SIM-000386-A2,SIM-000386,1022,488,150
SIM-000387-A1,SIM-000387,1085,637,150
SIM-000387-A2,SIM-000387,1600,883,150
SIM-000388-A1,SIM-000388,1094,480,150
SIM-000389-A1,SIM-000389,852,587,150
SIM-000389-A2,SIM-000389,1500,697,150
SIM-000390-A1,SIM-000390,1034,618,150
SIM-000391-A1,SIM-000391,1088,1354,150
SIM-000392-A1,SIM-000392,895,482,150
SIM-000393-A1,SIM-000393,1188,1009,150
SIM-000394-A1,SIM-000394,1590,1427,150
SIM-000395-A1,SIM-000395,1236,1379,150
SIM-000395-A2,SIM-000395,817,1241,150
SIM-000396-A1,SIM-000396,1098,542,150
SIM-000397-A1,SIM-000397,606,600,150
SIM-000398-A1,SIM-000398,1436,607,150
SIM-000398-A2,SIM-000398,1520,488,150
SIM-000399-A1,SIM-000399,1310,820,150
SIM-000400-A1,SIM-000400,1069,582,150
SIM-000401-A1,SIM-000401,1120,627,150
SIM-000402-A1,SIM-000402,952,678,150
SIM-000403-A1,SIM-000403,814,1212,150
SIM-000404-A1,SIM-000404,1031,664,150
SIM-000405-A1,SIM-000405,1065,411,150
SIM-000406-A1,SIM-000406,1010,915,150
SIM-000407-A1,SIM-000407,694,669,150
SIM-000408-A1,SIM-000408,1205,906,150
SIM-000409-A1,SIM-000409,638,711,150
SIM-000409-A2,SIM-000409,1303,834,150
SIM-000410-A1,SIM-000410,890,1137,150
SIM-000411-A1,SIM-000411,1339,497,150
SIM-000412-A1,SIM-000412,956,1114,150
SIM-000413-A1,SIM-000413,1209,1287,150
SIM-000414-A1,SIM-000414,1187,1231,150
SIM-000414-A2,SIM-000414,1458,924,150
SIM-000415-A1,SIM-000415,747,727,150
SIM-000415-A2,SIM-000415,1462,856,150
SIM-000416-A1,SIM-000416,661,950,150
SIM-000417-A1,SIM-000417,721,602,150
SIM-000418-A1,SIM-000418,938,793,150
SIM-000419-A1,SIM-000419,856,574,150
SIM-000420-A1,SIM-000420,1205,1341,150
SIM-000421-A1,SIM-000421,1501,1031,150
SIM-000422-A1,SIM-000422,1391,1199,150
SIM-000423-A1,SIM-000423,933,1169,150
SIM-000424-A1,SIM-000424,1533,612,150
SIM-000425-A1,SIM-000425,946,584,150
SIM-000425-A2,SIM-000425,1473,796,150
SIM-000426-A1,SIM-000426,1245,1137,150
SIM-000427-A1,SIM-000427,1311,1003,150
SIM-000428-A1,SIM-000428,1291,401,150
SIM-000429-A1,SIM-000429,916,1363,150
SIM-000430-A1,SIM-000430,1410,727,150
SIM-000430-A2,SIM-000430,1214,608,150
SIM-000431-A1,SIM-000431,1167,516,150
SIM-000432-A1,SIM-000432,872,901,150
SIM-000432-A2,SIM-000432,604,987,150
SIM-000433-A1,SIM-000433,1355,465,150
SIM-000434-A1,SIM-000434,1191,635,150
SIM-000435-A1,SIM-000435,1327,1041,150
SIM-000435-A2,SIM-000435,1171,1144,150
SIM-000436-A1,SIM-000436,685,686,150
SIM-000436-A2,SIM-000436,904,416,150
SIM-000437-A1,SIM-000437,1294,813,150
SIM-000438-A1,SIM-000438,763,655,150
SIM-000439-A1,SIM-000439,1499,556,150
SIM-000440-A1,SIM-000440,1382,688,150
SIM-000440-A2,SIM-000440,611,847,150
SIM-000441-A1,SIM-000441,775,447,150
SIM-000442-A1,SIM-000442,921,989,150
SIM-000443-A1,SIM-000443,1443,757,150
SIM-000444-A1,SIM-000444,1304,1313,150
SIM-000445-A1,SIM-000445,823,645,150
SIM-000446-A1,SIM-000446,1550,1096,150
SIM-000447-A1,SIM-000447,1288,465,150
SIM-000448-A1,SIM-000448,701,663,150
SIM-000448-A2,SIM-000448,1059,704,150
SIM-000449-A1,SIM-000449,1235,887,150
SIM-000450-A1,SIM-000450,689,1148,150
SIM-000451-A1,SIM-000451,803,992,150
SIM-000452-A1,SIM-000452,662,794,150
SIM-000452-A2,SIM-000452,1218,837,150
SIM-000453-A1,SIM-000453,1184,840,150
SIM-000453-A2,SIM-000453,751,630,150
SIM-000454-A1,SIM-000454,760,557,150
SIM-000455-A1,SIM-000455,664,999,150
SIM-000456-A1,SIM-000456,1213,1149,150
SIM-000457-A1,SIM-000457,1426,1101,150
SIM-000458-A1,SIM-000458,865,604,150
SIM-000459-A1,SIM-000459,1170,672,150
SIM-000460-A1,SIM-000460,1438,912,150
SIM-000461-A1,SIM-000461,1587,806,150
SIM-000462-A1,SIM-000462,1371,996,150
SIM-000463-A1,SIM-000463,873,1200,150
SIM-000464-A1,SIM-000464,923,762,150
SIM-000465-A1,SIM-000465,743,1397,150
SIM-000465-A2,SIM-000465,1007,1095,150
SIM-000466-A1,SIM-000466,605,971,150
SIM-000467-A1,SIM-000467,1317,487,150
SIM-000467-A2,SIM-000467,950,719,150
SIM-000468-A1,SIM-000468,1167,1270,150
SIM-000469-A1,SIM-000469,1260,957,150
SIM-000470-A1,SIM-000470,1383,889,150
SIM-000470-A2,SIM-000470,1513,698,150
SIM-000471-A1,SIM-000471,657,741,150
SIM-000471-A2,SIM-000471,1035,853,150
SIM-000472-A1,SIM-000472,774,1273,150
SIM-000473-A1,SIM-000473,895,1385,150
SIM-000474-A1,SIM-000474,978,1217,150
SIM-000475-A1,SIM-000475,1052,1279,150
SIM-000475-A2,SIM-000475,1207,1387,150
SIM-000476-A1,SIM-000476,756,699,150
SIM-000476-A2,SIM-000476,782,688,150
SIM-000477-A1,SIM-000477,870,1388,150
SIM-000478-A1,SIM-000478,1122,864,150
SIM-000479-A1,SIM-000479,1468,1106,150
SIM-000480-A1,SIM-000480,1444,1297,150
SIM-000481-A1,SIM-000481,1190,866,150
SIM-000481-A2,SIM-000481,1475,742,150
SIM-000482-A1,SIM-000482,903,407,150
